"","Arabidopsis.1d.1","Arabidopsis.1d.2","Arabidopsis.1d.3","Arabidopsis.1d.4","Arabidopsis.00h.1","Arabidopsis.00h.2","Arabidopsis.00h.3","Arabidopsis.00h.4","Arabidopsis.02h.1","Arabidopsis.02h.2","Arabidopsis.02h.3","Arabidopsis.02h.4","Arabidopsis.04h.1","Arabidopsis.04h.2","Arabidopsis.04h.3","Arabidopsis.04h.4","Arabidopsis.4d.1","Arabidopsis.4d.2","Arabidopsis.4d.3","Arabidopsis.4d.4","Arabidopsis.p5h.1","Arabidopsis.p5h.2","Arabidopsis.p5h.3","Arabidopsis.p5h.4","id"
"Arabidopsis-1d.1",1,0.733952584319614,0.863677807203318,0.899639089786579,0.485523928199223,0.526950024319439,0.591025197191885,0.511755407317607,0.488581814612156,0.626038973529809,0.702082661212511,0.508088445823812,0.780100159914786,0.765631977175965,0.716950116154565,0.765399885100504,0.582124209563381,0.508068071881116,0.637295812473636,0.632928327501919,0.598804374496779,0.638953384793072,0.424374225792993,0.592333633017962,"Arabidopsis-1d.1"
"Arabidopsis-1d.2",0.733952584319614,1,0.662745832891005,0.694975190247399,0.424783525266199,0.458751438867866,0.557120036871052,0.432359044841167,0.47046016525804,0.552092280388323,0.525339408046294,0.436187849745405,0.731090264403386,0.791847648687882,0.590706003222926,0.683075577215759,0.619471183439585,0.58561967747837,0.672177192895199,0.737153989964495,0.520454159416422,0.554620484127595,0.364909956453627,0.504822938739374,"Arabidopsis-1d.2"
"Arabidopsis-1d.3",0.863677807203318,0.662745832891005,1,0.924405635778577,0.558534911493747,0.590868005357864,0.62120527143369,0.589256465978528,0.536449786844034,0.668242943389004,0.744872148599649,0.577832613132962,0.715179005489474,0.732790163487504,0.803572309905156,0.805550517266745,0.529494723156877,0.451140650447319,0.640591453776882,0.595726754069933,0.662552593935629,0.710266336719115,0.50657136637782,0.657311770784753,"Arabidopsis-1d.3"
"Arabidopsis-1d.4",0.899639089786579,0.694975190247399,0.924405635778577,1,0.544284833388912,0.567112496400123,0.612631705296617,0.565941569874888,0.506798229497318,0.64428753200451,0.70991393619285,0.561028443763486,0.750044822796421,0.735189087037533,0.774901046374043,0.811312951876732,0.562264985875532,0.477943718311415,0.659425016758106,0.64557676205963,0.635460740578896,0.693528114704518,0.481837647723634,0.645825283769283,"Arabidopsis-1d.4"
"Arabidopsis-00h.1",0.485523928199223,0.424783525266199,0.558534911493747,0.544284833388912,1,0.801221191331731,0.734624519904577,0.827443929815966,0.571555688933967,0.649297552916576,0.613454539123071,0.751552904114603,0.495893774303984,0.463267080547351,0.686890372377368,0.618916748768278,0.426021823387307,0.347481214371835,0.506237391531223,0.49389321177949,0.770979927689903,0.798718450817162,0.610186371992325,0.802311704697196,"Arabidopsis-00h.1"
"Arabidopsis-00h.2",0.526950024319439,0.458751438867866,0.590868005357864,0.567112496400123,0.801221191331731,1,0.825757362969269,0.822584663825681,0.675971897504905,0.748139240477856,0.716085050321872,0.726514305356684,0.535661458243262,0.500886640806961,0.73444299527678,0.628272920945691,0.345862350794954,0.274226840797771,0.431136464640147,0.398569535614141,0.789770751857518,0.830387212460364,0.711238592131675,0.838109346515617,"Arabidopsis-00h.2"
"Arabidopsis-00h.3",0.591025197191885,0.557120036871052,0.62120527143369,0.612631705296617,0.734624519904577,0.825757362969269,1,0.67604658210655,0.686119332689748,0.778393424391184,0.725074427287389,0.789922277889938,0.639507006997748,0.610303748612308,0.768895596882899,0.668868726304054,0.429570868130666,0.354778852939074,0.519435775608066,0.478348200160159,0.82747097229587,0.812275821617892,0.67383634260415,0.835125675240409,"Arabidopsis-00h.3"
"Arabidopsis-00h.4",0.511755407317607,0.432359044841167,0.589256465978528,0.565941569874888,0.827443929815966,0.822584663825681,0.67604658210655,1,0.648798114716733,0.695784450189554,0.666707559078147,0.628540767634084,0.518922956416173,0.479856401969596,0.706255887194605,0.650701146617087,0.372152717899914,0.296907539346725,0.457894530844146,0.429028809456912,0.69192154929736,0.781987292022069,0.595661261252936,0.767658320866309,"Arabidopsis-00h.4"
"Arabidopsis-02h.1",0.488581814612156,0.47046016525804,0.536449786844034,0.506798229497318,0.571555688933967,0.675971897504905,0.686119332689748,0.648798114716733,1,0.78838545257945,0.66431161749525,0.540428566897242,0.643788512293902,0.580961350179947,0.634001377979408,0.591859894837152,0.275543464344307,0.214208275459075,0.365456753122191,0.330868837328343,0.612771665776133,0.66234728962626,0.534287422777244,0.632354005782744,"Arabidopsis-02h.1"
"Arabidopsis-02h.2",0.626038973529809,0.552092280388323,0.668242943389004,0.64428753200451,0.649297552916576,0.748139240477856,0.778393424391184,0.695784450189554,0.78838545257945,1,0.813269795340145,0.693861308975851,0.742857711723664,0.704000234250685,0.795322381647775,0.712795712568954,0.337967511157085,0.268520683556536,0.455097049868089,0.41071528222909,0.77613533827259,0.783581088796939,0.649223322168925,0.760252506034696,"Arabidopsis-02h.2"
"Arabidopsis-02h.3",0.702082661212511,0.525339408046294,0.744872148599649,0.70991393619285,0.613454539123071,0.716085050321872,0.725074427287389,0.666707559078147,0.66431161749525,0.813269795340145,1,0.659539972139238,0.639627751254886,0.59578297562352,0.792035238346914,0.704979780018234,0.348727162881262,0.279286897864518,0.464455883004273,0.415958237312235,0.712725244626069,0.75895667626657,0.637113399764697,0.716911648230512,"Arabidopsis-02h.3"
"Arabidopsis-02h.4",0.508088445823812,0.436187849745405,0.577832613132962,0.561028443763486,0.751552904114603,0.726514305356684,0.789922277889938,0.628540767634084,0.540428566897242,0.693861308975851,0.659539972139238,1,0.532640939345983,0.505692758136562,0.737680809763776,0.653667143741512,0.374011098884167,0.306094048676047,0.490894912066176,0.450190032237645,0.76123398849993,0.762533281516458,0.754626003746865,0.830360827506097,"Arabidopsis-02h.4"
"Arabidopsis-04h.1",0.780100159914786,0.731090264403386,0.715179005489474,0.750044822796421,0.495893774303984,0.535661458243262,0.639507006997748,0.518922956416173,0.643788512293902,0.742857711723664,0.639627751254886,0.532640939345983,1,0.877335731527375,0.688645763166402,0.757182125285186,0.491057021374972,0.41903005541843,0.558729781816402,0.562553277164981,0.614718116424823,0.661617828672964,0.440943044957338,0.616882630287169,"Arabidopsis-04h.1"
"Arabidopsis-04h.2",0.765631977175965,0.791847648687882,0.732790163487504,0.735189087037533,0.463267080547351,0.500886640806961,0.610303748612308,0.479856401969596,0.580961350179947,0.704000234250685,0.59578297562352,0.505692758136562,0.877335731527375,1,0.686564847490823,0.772575800384226,0.503618252825288,0.456882812099625,0.570532270892875,0.609212374202785,0.609552377786099,0.612115836633802,0.409060539080819,0.574227693784571,"Arabidopsis-04h.2"
"Arabidopsis-04h.3",0.716950116154565,0.590706003222926,0.803572309905156,0.774901046374043,0.686890372377368,0.73444299527678,0.768895596882899,0.706255887194605,0.634001377979408,0.795322381647775,0.792035238346914,0.737680809763776,0.688645763166402,0.686564847490823,1,0.835633614572875,0.461889008289099,0.391383070589493,0.577182847959424,0.53083939635,0.778050416548999,0.849282605360961,0.668701025341892,0.818353157053848,"Arabidopsis-04h.3"
"Arabidopsis-04h.4",0.765399885100504,0.683075577215759,0.805550517266745,0.811312951876732,0.618916748768278,0.628272920945691,0.668868726304054,0.650701146617087,0.591859894837152,0.712795712568954,0.704979780018234,0.653667143741512,0.757182125285186,0.772575800384226,0.835633614572875,1,0.524823018925565,0.453284074090633,0.600452650303134,0.612168151158177,0.716835918935645,0.76736153955828,0.567206881707723,0.732202589410018,"Arabidopsis-04h.4"
"Arabidopsis-4d.1",0.582124209563381,0.619471183439585,0.529494723156877,0.562264985875532,0.426021823387307,0.345862350794954,0.429570868130666,0.372152717899914,0.275543464344307,0.337967511157085,0.348727162881262,0.374011098884167,0.491057021374972,0.503618252825288,0.461889008289099,0.524823018925565,1,0.901503596189113,0.811135089066362,0.824318322504773,0.41731476811988,0.423035367869259,0.287996123069098,0.422058534536571,"Arabidopsis-4d.1"
"Arabidopsis-4d.2",0.508068071881116,0.58561967747837,0.451140650447319,0.477943718311415,0.347481214371835,0.274226840797771,0.354778852939074,0.296907539346725,0.214208275459075,0.268520683556536,0.279286897864518,0.306094048676047,0.41903005541843,0.456882812099625,0.391383070589493,0.453284074090633,0.901503596189113,1,0.748419374857035,0.760115452209455,0.34848106215106,0.336888794890445,0.215549785607827,0.345522933673716,"Arabidopsis-4d.2"
"Arabidopsis-4d.3",0.637295812473636,0.672177192895199,0.640591453776882,0.659425016758106,0.506237391531223,0.431136464640147,0.519435775608066,0.457894530844146,0.365456753122191,0.455097049868089,0.464455883004273,0.490894912066176,0.558729781816402,0.570532270892875,0.577182847959424,0.600452650303134,0.811135089066362,0.748419374857035,1,0.846065744643993,0.523181500293587,0.533723359154434,0.394644283557404,0.535127569510525,"Arabidopsis-4d.3"
"Arabidopsis-4d.4",0.632928327501919,0.737153989964495,0.595726754069933,0.64557676205963,0.49389321177949,0.398569535614141,0.478348200160159,0.429028809456912,0.330868837328343,0.41071528222909,0.415958237312235,0.450190032237645,0.562553277164981,0.609212374202785,0.53083939635,0.612168151158177,0.824318322504773,0.760115452209455,0.846065744643993,1,0.486694196801845,0.494013854463808,0.360117520358812,0.490080379284962,"Arabidopsis-4d.4"
"Arabidopsis-p5h.1",0.598804374496779,0.520454159416422,0.662552593935629,0.635460740578896,0.770979927689903,0.789770751857518,0.82747097229587,0.69192154929736,0.612771665776133,0.77613533827259,0.712725244626069,0.76123398849993,0.614718116424823,0.609552377786099,0.778050416548999,0.716835918935645,0.41731476811988,0.34848106215106,0.523181500293587,0.486694196801845,1,0.857514751538952,0.651014941667656,0.836334159880123,"Arabidopsis-p5h.1"
"Arabidopsis-p5h.2",0.638953384793072,0.554620484127595,0.710266336719115,0.693528114704518,0.798718450817162,0.830387212460364,0.812275821617892,0.781987292022069,0.66234728962626,0.783581088796939,0.75895667626657,0.762533281516458,0.661617828672964,0.612115836633802,0.849282605360961,0.76736153955828,0.423035367869259,0.336888794890445,0.533723359154434,0.494013854463808,0.857514751538952,1,0.707849491270764,0.906138978591259,"Arabidopsis-p5h.2"
"Arabidopsis-p5h.3",0.424374225792993,0.364909956453627,0.50657136637782,0.481837647723634,0.610186371992325,0.711238592131675,0.67383634260415,0.595661261252936,0.534287422777244,0.649223322168925,0.637113399764697,0.754626003746865,0.440943044957338,0.409060539080819,0.668701025341892,0.567206881707723,0.287996123069098,0.215549785607827,0.394644283557404,0.360117520358812,0.651014941667656,0.707849491270764,1,0.740361644045964,"Arabidopsis-p5h.3"
"Arabidopsis-p5h.4",0.592333633017962,0.504822938739374,0.657311770784753,0.645825283769283,0.802311704697196,0.838109346515617,0.835125675240409,0.767658320866309,0.632354005782744,0.760252506034696,0.716911648230512,0.830360827506097,0.616882630287169,0.574227693784571,0.818353157053848,0.732202589410018,0.422058534536571,0.345522933673716,0.535127569510525,0.490080379284962,0.836334159880123,0.906138978591259,0.740361644045964,1,"Arabidopsis-p5h.4"
