"","Brachy-1d.1","Brachy-1d.2","Brachy-1d.3","Brachy-1d.4","Brachy-00h.1","Brachy-00h.2","Brachy-00h.3","Brachy-00h.4","Brachy-02h.1","Brachy-02h.2","Brachy-02h.3","Brachy-02h.4","Brachy-04h.1","Brachy-04h.2","Brachy-04h.3","Brachy-04h.4","Brachy-4d.1","Brachy-4d.2","Brachy-4d.3","Brachy-4d.4","Brachy-p5h.1","Brachy-p5h.2","Brachy-p5h.3","Brachy-p5h.4"
"2-hydroxypyridine",11824934.7916667,0,0,0,591527.625,69138.375,251981.5,0,0,0,0,0,863374.458333333,0,0,0,0,0,0,4063604.5,1311214.58333333,0,0,0
"2-deoxyadenosine",0,0,0,0,0,6443866.687684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258504.500184,557761.500184,647298.812684,157397.437684
"2-deoxyguanosine",38546.2109216667,23631.4219216667,0,10491.6562516667,1033701.0234325,1751978.7734325,11224184.6484325,1192844.8984325,226.9140625,0,0,0,0,7143.007815,9503.804685,4392.906245,22368.2291525,9423.8932525,0,37091.6276525,379601.8047325,559003.9609325,715408.5859325,375084.3047325
"3-methoxytyramine",422328.47466,625203.56836,864944.13086,814296.56836,302807.185596667,294290.998096667,84673.7948966667,102075.748096667,42382.26628,61454.60222,100632.72724,277661.71164,0,65355.0905,1037140.97331,219256.91081,493551.58789,889975.27539,1205299.15039,1027835.02539,208723.031953333,350141.531953333,400563.781953333,86794.0240533333
"3-methyladenine",1205795.93663883,836863.124138833,890320.874138833,1454964.93663883,1099955.48925833,1752278.98925833,660346.989258333,1340083.61425833,261340.850257667,185413.397057667,97824.3814576667,146844.459557667,172401.123342167,257283.217142167,485302.060842167,398589.435842167,3075499.99941783,3368804.49941783,2244340.99941783,55030794.7494178,271727.384054333,423149.259054333,146731.415354333,254926.290354333
"4-aminobutanoic acid",75925218.625,112887778.625,7287829.125,160996148.625,2220032.66835917,35700234.9183592,764574.355859167,943084.543359167,0,0,0,0,346160.5729,23736863.3229,4845479.8229,88426753.3229,6348636.66666667,95542142.1666667,97690782.1666667,124260722.166667,4466493.49216667,26357632.9921667,990511.742166667,820007.492166667
"4-guanidinobutanoic acid",100787210.296867,62961990.2968667,4866883.79686667,74185430.2968667,74103128.5664033,4430603.06640333,4081502.31640333,3014313.81640333,1677292.55727333,1152702.93227333,10331974.0572733,49195814.0572733,154412.68755,118694624.90625,6158536.40625,45771664.90625,522289007.782978,239240827.782978,472560927.782978,242409727.782978,105132862.22915,1247792.72915,2154632.97915,1756468.10415
"4-hydroxybenzoic acid",0,0,0,19054152.75,208039.7083,0,0,0,0,0,0,0,0,0,0,0,7155097.08333333,0,11708117.0833333,0,475888.013,0,0,0
"4-imidazoleacetic acid",373803.50656,668018.47526,2066032.91276,774556.16276,63489.6419233333,86428.2512633333,47215.9505233333,17860.8157533333,5448.14746666666,29860.8740266667,36223.4755866667,667942.436526667,113999.084613333,145893.084613333,431416.975313333,313745.694013333,928821.33788,15054378.83788,62896608.83788,2083251.58788,43899.2080066667,21133.4033166667,50873.0478566667,232560.750976667
"4-pyridoxic acid",461013.711586667,779956.961586667,609489.586586667,644894.399086667,550893.443033333,7655371.25553333,297314.380533333,3745811.25553333,109094.7643,138591.1081,93504.5378,141642.4518,0,257478.651086667,378544.213586667,398574.557286667,1819507.28752556,29812789.7875256,2070425.28752556,26365879.7875256,175104.473632667,242010.629932667,119298.684532667,150195.473632667
"4-quinolinecarboxylic acid",406826.101563333,336560.695363333,256272.132863333,264568.632863333,288752.877603333,154001.080703333,227444.471403333,84245.5651033333,75799.90948,26058.26108,82604.51108,32743.58921,0,354002.089843333,279819.683643333,108228.386743333,0,0,0,0,95815.10612,43163.54362,42964.60612,36042.55143
"5-methylcytosine",7077949.80793333,50073545.3079333,3573849.55793333,5163547.80793333,1769055.37076667,1156577.49576667,685621.745766667,1183403.12076667,1424646.62368,1699953.49868,917716.49868,893492.99868,3729.56836333332,2695415.31055333,2708296.81055333,2342722.06055333,94935740.2542289,85961180.2542289,50586390.2542289,79339890.2542289,263235.314503333,434944.877003333,182409.455103333,3870920.53320333
"5-deoxyadenosine",25644384.4700533,323413.220053333,918453.970053333,11563854.4700533,0,0,0,0,139275.10119175,376821.85119175,2729889.25739175,541654.00739175,0,0,0,0,0,129411.730902222,0,0,0,0,0,28471.3277250833
"5-methylthioadenosine",24382465.67707,1194811.05207,688668.17707,1828498.80207,101703770.665363,50391280.6653633,28214130.6653633,45515330.6653633,41883.57683,157823.77993,350535.18623,492973.71743,0,0,0,0,73931648.0750259,151766.637525889,4963067.57502589,31518638.0750259,15173197.9935067,652502.056006667,827638.868506667,973403.743506667
"acetylcholine",0,0,345717.359366667,194702.546866667,0,0,0,0,0,0,0,0,2832295.1927,0,0,0,884.55726666667,16746.3072666667,1233478.80726667,15717639.0572667,0,0,0,0
"adenine",1936658466.83333,2259438466.83333,3392198946.83333,2049708066.83333,879818948.833333,844621748.833333,698902948.833333,677751508.833333,218838311.083333,349564031.083333,223503551.083333,774521671.083333,0,865101463.166667,1567053543.16667,1415816103.16667,2991820857.77778,2335988057.77778,3435388857.77778,2285261177.77778,522691877.426595,378616317.426595,321436417.426595,273656557.426595
"adenosine",183239749.666667,138586969.666667,124188549.666667,171961289.666667,0,74942186.8958333,0,10014536.8958333,0,0,0,12414612.1666667,0,131068640.583333,119110110.583333,125173930.583333,115718207.166667,0,14902567.1666667,0,105498787.541667,0,27023087.5416667,76256817.5416667
"alpha-hydroxyisobutyric acid",0,0,18577.4775366667,0,22039.6803366667,1836.31705666666,0,0,0,0,0,0,5773.91275666666,0,6374.69400666666,0,1534.84288422222,0,5106.43467422222,6792.71006422222,0,5887.95280666666,0,0
"an hydroxycinnamic acid",1885160.16186275,1212354.78686275,448608.81816275,3307523.16186275,1231555.16186275,550170.28686275,293991.69316275,551628.09936275,0,0,0,0,0,175758.48996275,459439.41186275,548370.41186275,1263665.89585881,1103053.27085881,929229.145858806,2011177.02085881,199422.58376275,198195.45876275,79817.18526275,163288.72436275
"azelaic acid and unresolvable, unidentified isomers",239963.677066667,346680.552066667,0,7716544.23956667,166456.916633333,43726.9479333333,0,0,56410.9635666666,204333.588566667,95482.0572666666,0,0,129318.25,206276.375,297623.5625,602224.518211111,609113.268211111,0,831803.768211111,0,0,0,0
"betaine",3404069098.33333,3353486378.33333,1157857418.33333,3338582058.33333,279107830.135417,222785190.135417,0,1162297430.13542,804830678.401042,883198358.401042,424729478.401042,290497878.401042,1675492690,2312458770,4572415570,1083887090,6057415726.72222,6096828846.72222,1970719726.72222,5006241966.72222,0,0,0,0
"bis(3-aminopropyl)amine",29562405.3333333,53191095.3333333,0,0,83000229,64639089,414823.5,0,0,0,0,5867458.66666667,18918962.1666667,0,127910872.166667,91175472.1666667,0,0,0,50359959.8611111,2661807.16666666,61647827.1666667,0,0
"caffeic acid",0,0,0,0,0,0,0,0,0,0,0,0,387573.041666667,0,0,4640224.66666667,0,0,0,0,0,0,0,0
"carnitine",0,0,0,0,0,0,0,0,0,0,0,0,25706404.60157,0,0,0,206952.537752222,0,0,0,0,0,0,0
"choline o-sulfuric acid",0,0,0,0,6086100.8333,14002.8958000001,0,61273.9583000001,119490.81577,64226.19077,56295.50327,0,121927.291666667,0,0,0,0,0,0,0,0,206290.45834,124566.17714,187596.73964
"cytosine",0,8626060.91666667,0,0,0,0,10367399.9583333,0,0,0,0,0,82527578.6666667,0,0,0,122626547.472222,53333107.4722222,34562437.4722222,63988177.4722222,0,427600.854166666,0,0
"deoxycarnitine",59534.1184866667,56271.4388066667,71341.3215766667,55677.6419266667,112376.999973333,81256.6562733333,89110.0234733333,70815.2109333333,0,0,0,0,4460.95963333333,21276.5338533333,39154.2057333333,27149.0494833333,357761.527126667,264853.433426667,378762.495926667,289197.120926667,65771.8014293333,14765.2818993333,35132.6998693333,16961.8014293333
"deoxycytidine",2809753.12108667,49180182.3710867,103399862.371087,6043052.87108667,1031988.04385425,512679.79385425,250668.01265425,262083.41885425,2900339.32090283,135724.383402833,0,24268799.3209028,0,525864.81603475,3055155.81603475,2566451.31603475,3698517.94822381,4201112.69822381,184145884.198224,76687024.1982238,474779.13765425,567593.04385425,200293.93445425,122595.24695425
"dethiobiotin",466253.440103333,703878.315103333,449800.440103333,646919.003103333,2110140.50910667,1832428.50910667,622850.571606667,1041764.38410667,0,0,0,0,0,0,112233.156216667,11548.1406166667,25356470.5883244,0,19520020.5883244,0,264706.752633333,221202.658833333,171211.377633333,298164.596333333
"dihexose(s)",648841.0729,985309.0729,75662.2604,2163316.1979,0,23959826.3125,1382.6875,1498799.0625,8787.47913333343,129595.666633333,0,0,420165.25,1032441.25,1746526.875,300317.5,9633947.07985556,0,0,0,0,518966795.5677,611057035.5677,0
"ferulic acid",1032708.36621,1218422.86621,231401.55371,1712544.86621,253412.107934667,141604.467334667,68030.7172846667,125208.107934667,0,4371.22394641666,17676.3880064167,0,6768.23567533333,77560.2551853333,712943.864585333,136754.505185333,351266.036664389,79672.3803643889,228660.849164389,310002.630364389,16992.29368875,48008.94212875,12591.79564875,42812.45775875
"glucuronolactone",0,30930.1445233333,7607.91792333334,0,0,2340.15485408333,0,0,12524.1515974167,376.208237416668,0,386.280507416668,0,13871.2061224167,211146.401412417,86815.5342124167,44894.0228330278,1149728.53843303,63770.0384330278,188259.179033028,9125.34560216667,12818.2254821667,3755.55751516667,2273.58070816667
"glutamine",729616.690086667,633105.815086667,340180.940086667,45239312.2525867,1194413.32680333,1354093.45180333,52107.1862033333,134444.670603333,0,0,0,37259618.8437333,0,1079283.26821333,2782649.51821333,1450224.64321333,2127679.22829556,1241668.72829556,17781668.4782956,623311.353295556,287822.385953333,31477.9991833333,602760.604653333,52917.6671533333
"glyceraldehyde or lactic acid",0,0,0,0,0,0,3711918.08333333,0,0,0,0,0,888058.093566667,0,0,0,0,0,0,0,68847.3645666668,437232.177066667,4453616.67706667,0
"guanine",1488351327.16667,1383307487.16667,1608476447.16667,1303370687.16667,911469499.833333,1043564299.83333,908673339.833333,973732859.833333,204583993.916667,347671993.916667,206886913.916667,180132753.916667,445800620,515068180,547677700,585993140,1738198117.44444,2085644997.44444,1436024037.44444,2036437317.44444,97784836.6666667,199981066.666667,110673026.666667,276081046.666667
"histamine and unresolvable, unidentified isomers",144846970.612711,189292390.612711,193087410.612711,248595650.612711,103674374.37321,102263194.37321,94317034.3732097,106162974.37321,66911185.4090263,80066715.4090263,163591705.409026,165540775.409026,1446.87141766667,89940629.8977877,260801769.897788,195785149.897788,132850356.725153,104183936.725153,193881856.725153,142397556.725153,176481212.087241,222250152.087241,221191812.087241,169307132.087241
"histidinol and unresolvable, unidentified isomers",736577.265706667,954824.703206667,1406183.82820667,1204250.70320667,497438.977019333,469184.195719333,387849.977019333,429979.477019333,226851.95953,362355.16273,761242.25643,9544748.31893,0,367761.597737667,1197205.59773767,792679.722737667,453555.713003778,663905.025503778,1104483.02550378,933210.025503778,773552.78328475,7881929.28328475,967376.40828475,484230.93958475
"homovanillic acid",47521.4980466667,60510.5722666667,15123.6582066667,64559.2871066667,131404.512883,72892.372233,64543.653483,59410.176923,9496.852372,12822.110192,12297.677572,6217.210287,4081.45231133333,14797.5538763333,17077.8976263333,28856.1007463333,201815.844778667,282864.610378667,63712.0400686667,227252.735378667,7823.21216133333,18128.0402813333,17988.6301313333,20800.2277813333
"hypoxanthine",228025098.166667,272964418.166667,372248258.166667,183186458.166667,60830547.1666667,3316233.66666667,42543757.1666667,52826507.1666667,0,5884947.70833334,0,14847477.7083333,173341776.25,57705856.25,44335236.25,39733316.25,175653877.722222,164750277.722222,318620357.722222,82362907.7222222,0,0,0,0
"inosine",379650.3333,487388.1458,328250.8333,601963.0833,364599.15495,170194.21745,46807.25655,50668.49085,0,0,0,10227.1615166667,170676.690133333,0,100649.596333333,45084.0338333333,15636307.4678733,441185.842873333,23836517.4678733,727969.967873333,804.502596666673,27225.6978866667,0,0
"isoleucine",0,887191.510406667,306609.760406667,30206744.2604067,261242.897193333,257435.584693333,38184.9908933333,136975.178393333,0,0,0,0,250932.04429,507719.45049,1259759.45049,613688.76299,128719.883667778,1236243.88366778,2087546.38366778,4428669.63366778,193085.546916667,354566.703116667,16198.3125166667,0
"leucine/norleucine",773283.682266667,1770238.30726667,726145.307266667,2542121.43226667,337920.097713333,243373.191413333,3305.48047333331,70287.8945133333,0,0,0,0,366583.2187,338248.7812,1230964.2187,731145.1562,34804.0225666666,204087.210066667,509508.960066667,2765149.83506667,64635.1667,265826.3854,0,0
"malonic acid",0,4354.88456325,1049.61698325,12626.47050325,649.813839750001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4397.84181880556,0,0,0,0
"N-acetyl-hexosamine",96042651.8958,86648051.8958,1576345.3958,98424581.8958,136297830.032537,86067010.0325367,2653539.78253667,34054660.0325367,1033827.41666667,1145876.79166667,1115686.54166667,1223281.04166667,1865029.54683333,2656164.79683333,4327316.04683333,3818257.04683333,110362947.28125,112473277.28125,7303919.78125,193416027.28125,1281768.86067667,22561236.2356767,1376053.36067667,1274355.73567667
"N-acetyl-phenylalanine",25322.5406966667,14890.0738966667,13311.3492866667,13159.4567066667,35004.16602,22720.4082,7409.01953,8273.79297,1770.07747666667,0,0,2872.28841666667,6875.31021666667,2579.20279666667,0,0,19008.7138577778,0,0,6466.26072777778,7880.80891766667,6231.32649766667,6562.61165766667,3221.61067766667
"nicotinamide",1038681.93226667,979313.432266667,460226.494766667,1118629.80726667,1885487.10933333,768810.359333333,10430409.8593333,559582.109333333,0,94400.1354666667,124627.604166667,64236.2604666667,441092.677066667,375178.489566667,541987.552066667,654979.739566667,703462.387133333,15767962.6371333,173382.762133333,998282.887133333,321605.3437,282010.9687,489784.1562,248666.5937
"pantothenic acid",6411322.63117667,6285783.63117667,0,47124687.1311767,106718102.42447,70952372.42447,658472.36197,16849332.42447,635814.573543333,904381.386043333,479355.761043333,31524.6516433334,0,22145557.7324133,2085569.98241333,2601476.48241333,133984054.829647,179044444.829647,0,176671224.829647,0,1830741.01219467,461088.324694667,342401.887194667
"phenylalanine",859928.71354,1090890.71354,272168.11984,1603180.46354,778659.711916667,474685.618216667,22107.4853566667,125768.477516667,0,0,0,0,86727.0456233333,322073.951823333,1385482.82682333,758847.389323333,0,632477.020387778,193314.645387778,65175025.7703878,183995.535156667,476359.410156667,123335.472656667,1106123.03515667
"pipecolic acid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1096.27750583333,0,0,0
"proline and unresolvable, unidentified isomers",10985.2746548333,108795.044164833,76132.8488648333,339085.653564833,0,0,0,0,0,0,0,0,0,6990.96736483333,106990.838484833,24889.0923648333,0,231233.912732722,86930.9283327222,336175.194032722,0,8669.94262483333,0,0
"pyridoxine",4625230.08333333,153212506.583333,94863676.5833333,93058926.5833333,79751273.3541667,121985043.354167,0,989612.854166667,0,0,0,20048998.3958333,8023756.85416666,0,54803586.8541667,0,249295447.291667,623307627.291667,263645127.291667,315253667.291667,0,64195656.1562333,0,25922916.1562333
"sarcosine",23645.3336626667,28018.2594426667,0,205473.282852667,0,12175.3119945,49.9438274999998,1534.1445105,0,0,0,0,0,7231.242835,29677.955725,7703.385415,6915.93455916667,0,0,0,0,0,0,0
"threonine",148842.279973333,434279.701873333,146527.311173333,656335.545573333,55619.4759133333,116236.671223333,9601.90560333333,35752.5384133333,0,0,0,0,35791.2786566667,75381.7161566666,644836.606756667,136192.950556667,153061.023652222,4760363.33615222,207175.492452222,444833.429952222,14589.03776,59227.06121,57231.14714,6225.44792
"thymidine",300962.923228167,446077.235728167,913980.391928167,546625.266928167,146948.0761725,69249.1308625,33136.6347625,34213.1972625,0,0,0,246502.290415,0,123088.3574725,214530.1699725,356237.1699725,249276.207676944,812871.207676944,773886.145176944,661251.957676944,63771.3418025,55015.6035125,26023.0996125,32598.7168025
"trigonelline and unresolvable, unidentified isomers",182195.55442475,165914.41382475,15644.35911475,90629.71072475,2023792.24349667,1826453.24349667,0,1591710.24349667,184002.042728083,54894.1677080833,23.3825480833329,75045.0114580833,0,299376.58733475,321806.36853475,389647.74353475,0,0,0,0,28940.47501475,835193.86563475,0,221309.27193475
"tyrosine",228424.30664,468053.65044,194581.52544,711377.86914,85335.9450093333,65700.6324893333,12580.5348293333,16312.8043593333,0,0,288097.10091,0,19594.7714866667,10295.4042966667,337704.236326667,52051.0957066667,129083.900495556,99419.6973955555,129322.619295556,294031.806795556,29626.61393,63629.46159,24749.50456,8512.49284
"unidentified isomer of 3-hydroxyanthranilic acid",594336.717446667,700180.592446667,19363383.5299467,1435707.40494667,3867725.12239667,2111147.12239667,2424748.12239667,2001076.49739667,306711.240926667,544241.397126667,1078806.45962667,2257570.08462667,7463.53776,78218.04555,220396.71745,342670.34245,2453544.76692556,1338690.14192556,40029630.0169256,4131650.51692556,1543116.04168,1158862.66668,1363967.66668,15577123.79168
"unidentified isomer of cytidine",300960553.1875,371839873.1875,460597833.1875,395602673.1875,332358412.172018,251146692.172018,112344452.172018,129982502.172018,0,0,0,21139654.6927,5178.08336666663,6803565.61456667,153277775.114567,149081965.114567,404831119.854111,427094159.854111,1065049439.85411,600427039.854111,60203012.92578,82987912.92578,4889553.42578,4659721.42578
"unidentified isomer of nicotine",0,0,438484.593566667,0,0,0,0,0,0,0,0,0,650577981.291667,182797521.291667,158707001.291667,0,0,0,0,0,102394206.666667,0,0,0
"unidentified isomer of nicotinic acid",1004601.47982,2026566.97982,59541.67512,2329740.47982,651223.841146667,198028.341146667,0,0,1464453.32421167,109366.574211667,58009.9336116667,0,15238.8417933333,211615.970703333,328671.752003333,336910.689503333,1669718.06944889,5934701.44444889,338320.350748889,53500181.9444489,0,45820.20699,0,0
"unidentified isomer of valine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"uracil",457435.9427,648086.4427,328620.349,948102.6302,207963.628943333,63250.2539433333,7989.62889333334,16544.0820233333,0,0,0,0,540054.847636667,86319.3320366667,487208.222636667,3548719.09763667,904748.864577778,341388.364577778,508582.552077778,835426.864577778,0,63017.7519133333,30457.7519533333,4853.30273333333
"vanillic acid",351951.066453333,351681.003953333,475248.347653333,324827.972653333,617512.494463333,194201.072563333,163125.463263333,191694.119463333,0,39473.31055,43349.08399,78969.77931,51852.0599266667,0,214678.645826667,0,0,0,0,0,134207.5951,91859.2669,40691.16536,70106.5169
"xanthine",2546088.625,50458622.125,2349836.625,1654392.875,773015.593733333,72176.9687333333,0,0,0,0,0,0,0,0,0,0,44133633.2986111,913372.048611111,43697933.2986111,1162216.79861111,0,0,0,0
