"","Medicago-1d.1","Medicago-1d.2","Medicago-1d.3","Medicago-1d.4","Medicago-00h.1","Medicago-00h.2","Medicago-00h.3","Medicago-00h.4","Medicago-02h.1","Medicago-02h.2","Medicago-02h.3","Medicago-02h.4","Medicago-04h.1","Medicago-04h.2","Medicago-04h.3","Medicago-04h.4","Medicago-4d.1","Medicago-4d.2","Medicago-4d.3","Medicago-4d.4","Medicago-p5h.1","Medicago-p5h.2","Medicago-p5h.3","Medicago-p5h.4","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","id","PCone"
"2-deoxyadenosine",0,3.22274960672679e-06,0,0,0,8.14349106502086e-05,0,0,0,2.15558497110387e-05,0,0,0,4.99068231713482e-07,0,0,0,0,0,0,0,0.0101283977093706,0.000217571896851891,0,-0.000154962770511976,-0.00222530273418897,0.00510982433011487,0.00626598526592504,0.000907173452666238,0.000711375782124016,-0.003336598945564,0.0127105956290215,0.00197105307837367,-0.000861578276279956,0.0286977348886511,0.0305058696817779,-0.0266142197278052,-0.0269188249580399,-0.0397244781802952,-0.0132868479492868,0.246247080867992,-0.137636421148672,-0.041601993132575,0.192050040839955,-0.193470653078868,0.0752368259229277,0.176864591824082,-0.274404143192289,"2-deoxyadenosine",2.40134602447474e-08
"2-deoxyguanosine",1.80063505402792e-06,9.896332503288e-07,3.78124581917946e-07,0,0.000180677061347097,2.37186476060058e-05,0.000565138335790685,0.000665619203871884,0,4.7786921278977e-06,2.28703345844135e-05,1.2251830148504e-05,2.14556602081444e-06,2.59150720049553e-06,0,0,3.00713156980474e-06,1.47761503424493e-05,7.33223349864382e-06,6.37964773083655e-06,3.49921798383474e-06,7.86378809187436e-05,0.000734373118319739,0.000307340522047579,0.000661727421926803,-0.000172396110750134,-0.000341924899974448,-0.000536976551296614,-0.000322454283227608,0.000303457119363527,0.00104686791391058,0.00403826916604222,-0.00255486589244458,-0.00160047756946799,-0.00123601720063743,-0.000250505580019512,-0.00190891078597842,0.00234907342714956,-0.00276823687720713,0.00176584457030064,-0.0081321068038751,-0.00506412003685479,-0.00381547269565226,0.00283676666399037,-0.0229376239483702,-0.0388157607111018,0.0113210474748771,-0.35835855174671,"2-deoxyguanosine",4.37883180929893e-07
"2-hydroxypyridine",0,0.000914406829010923,0,0,0,0,0,0.00171657807378809,0,0,0,0,0.00284570786560753,0,0.000121474552745831,0.0069035349701903,0,0,0,0,0,0,0.00128033375603209,0,6.97654733471922e-05,-0.0052839544695476,-0.00366419713851681,-0.000131025597956073,0.00144745757022429,-0.00230428599762956,0.0163769911449083,-0.0208230359569649,-0.0104236703809174,0.00148284005818477,-0.023481667603991,0.0191301609738099,-0.0532278626893327,-0.0652993877671717,0.0612609820842419,0.00411224812995204,-0.0478102095966658,-0.0528698598885732,0.0139744558523778,0.0380829217164853,-0.0176137206767772,-0.0789386320901209,0.066557742524513,0.335468684666819,"2-hydroxypyridine",4.86722127135778e-09
"3-methoxytyramine",2.42493214226181e-06,1.54394217713425e-06,0,0,2.60957269934174e-06,1.06044699474766e-07,7.71141952006198e-06,6.62421362144556e-06,2.82076021372273e-06,4.64238122689617e-07,6.71311680582597e-06,2.11907926562062e-07,6.64474177176549e-07,1.26808022561478e-06,0,0,4.55948059568826e-05,7.30606332102691e-06,2.52932041039974e-07,6.82410733862423e-08,1.19117451708437e-06,1.36153175944129e-07,6.57951593835296e-06,2.57827502047708e-06,-1.3660158100215e-05,1.98085060648146e-05,1.31172622274641e-05,-3.11859498339979e-05,-1.02470825325442e-05,-6.88557396649862e-05,-9.69589686648282e-05,4.78691605418886e-05,-0.000201746668331584,-1.63386669264646e-05,5.211273187486e-05,6.21129921902532e-05,-8.87922095644484e-05,1.57755110613945e-05,0.000119216699632096,7.41672170756083e-06,-0.000354269524347765,0.000238753968808693,-0.000151993558419844,0.000197834451850667,1.97776983302942e-05,0.000271783907011356,0.00227746732868447,0.0502031333664124,"3-methoxytyramine",1.86599919322869e-10
"3-methyladenine",0.000941756684801053,0.0101524560452883,0.00050114280840358,0.000622880807000631,0.00181698473454457,0.0215191109198512,0.00107541071017465,0.000661025397755639,0.0281290471749985,0.0107391509566509,0.00298114606986745,0.00170914632345544,0.0100497369498377,0.00704318107447112,0.00178632535984998,0.00118957888965477,0.00523511241399398,0.00554663491184299,0.0109096894893978,0.000413945686240561,0.00211846842863278,0.0267753128082795,0.00116736529821415,0.00105359391239747,-0.0197272667651962,-0.000444255824575979,0.0371837719113031,0.0204026214238259,-0.00608648233971849,0.0599688710894746,-0.0144265593250427,0.0989354163034521,0.0818954210202775,0.12503623688737,-0.0227546430062655,0.19961096119222,-0.0555302770188735,-0.195635541878937,0.14265176288575,0.0391283734695381,0.527195942343689,-0.25151493852627,-0.174325271488928,-0.125557688655803,0.0186791392747619,-0.0428236015649662,0.219050634513902,-0.216827211084688,"3-methyladenine",0.000389165054025214
"4-aminobutanoic acid",0.0294557112238135,0.0639774702211687,0.0210370086405158,0.0168384927897562,0.0299763587276393,0.021023838660077,0.000202110302661889,0.0470187548406575,0.0134133793783592,0.0313925939003687,0,0,0.0276386055449663,0.0399955644517161,0.00318045781513961,0.0352917567910894,0.0102751264320958,0.0371801898121783,0.0130593963871608,0.0273863426318928,0.0278443218901106,0.0173538401851428,0.00486763604496275,0.00142773580079427,-0.0474805039737103,-0.0225424176753197,0.0297834511751638,-0.0264879222729557,-0.0340607829216772,0.0397087189470832,0.383375937559413,-0.129449289856068,0.0412026419919584,-0.193262772951818,-0.00872450658098789,-0.133543384745337,-0.0338104118296138,-0.159942623829702,-0.465378722834556,0.295002197615833,-0.15433531611347,0.0298386412333628,0.0194891921956101,0.331909041009089,0.159196903002481,-0.139733563706694,0.0502303829301461,-0.184789420344328,"4-aminobutanoic acid",0.00225439825759752
"4-guanidinobutanoic acid",0.114175435360308,0.0245645181566558,0.0113006780570193,0.000495618889413382,0.176640724564162,0.000595801135724637,0.000995536096237031,0.00138785335152653,0.143574721108913,0.0136890330361808,0.000782699991294476,0.0739943165235367,0.164067998298121,0.0184091749382161,0.00183267718202069,0.000681368176066032,0.128212288441493,0.0397922993917612,0.0338679277456684,0.0504577728241321,0.137477434694639,0.00566643665891884,0.00199078141887902,0.00816369936786354,-0.198553057568744,0.138128189963028,-0.0851951225056042,-0.309100081926982,0.4940711843276,0.0879456039603849,-0.201805204282112,0.0486789938783015,0.178130404831402,0.190205232931957,-0.259606676824287,-0.0414681953801859,-0.239328968060735,0.160394701799142,-0.0429067935004628,-0.0279216154574337,0.0238642339589678,0.330251206676576,0.300636474791405,-0.0495534839578415,-0.110805683910975,-0.00233454985965597,0.0576249742757155,-0.144295560034003,"4-guanidinobutanoic acid",0.039423316669897
"4-hydroxybenzoic acid",0.000101471388736148,0.000979018313872723,0.0106178214996269,0,0.000472472617604746,0.00011527769852623,2.25960588633828e-05,0.000369592171424092,0,0,0,0,0.00453106308668206,4.03301428754656e-05,0,3.56151922356828e-05,0.00515209832968723,0.00449953196245277,0.00163098992592851,0,0.000675124781276963,8.98094863304123e-06,0,8.72006508697861e-05,-0.00208265923436288,0.00577554104003755,-0.0049704861237248,-0.00316409756115766,-0.00347619997568082,0.00549876983268058,-0.00846289343464989,-0.0195215676557312,-0.0081414600684598,-0.0160679870016078,-0.0241075551241634,-0.0210694454500277,-0.0293077540505616,-0.0898974216956919,-0.123350925875837,-0.162135283000818,-0.00649647678495945,0.0809047323847369,-0.217728040503257,-0.0793506571623507,0.134739492140994,0.347291948523569,0.487683456352675,-0.0384746925581019,"4-hydroxybenzoic acid",4.33746948647697e-06
"4-imidazoleacetic acid",0.000111672340532275,6.44594337104361e-05,9.73117176725808e-05,1.79966766140828e-05,4.27620842122806e-05,2.04477519787116e-06,3.72326734257996e-05,6.75277888056512e-05,0.00022594501013049,5.18226603949243e-05,7.84569605683965e-06,4.00053929809542e-05,0.000223134532153681,0.00010667507854431,0.000286238052796652,4.2582332266594e-05,0.0040850365832997,0.000241445792970677,0.000104660687121543,0.00115643587945153,8.15197072035584e-05,1.52224780896286e-06,0.00231086095266538,3.14599491295245e-05,-0.00165224097445341,0.000250712306548686,-0.000348618093565299,-0.00353268955412786,-0.00255878937487614,-0.00380513131448801,-0.014803967964011,0.00192596656099751,-0.0148071372179213,-0.00126989628359184,0.0045320644677076,0.00408608987888996,-0.00701846265056199,0.00922661466076713,0.0138697278425517,-0.0264023887875741,-0.0372008863413281,0.0304515025186972,0.00396914460461804,0.0324089985026644,-0.075318105395792,-0.046992939142176,0.203379223522028,-0.0726468769904294,"4-imidazoleacetic acid",2.72990023766276e-06
"4-pyridoxic acid",4.43891028589331e-05,1.06889604739921e-05,6.72968778672882e-05,6.96636457176109e-05,7.76150082789363e-05,7.2769135580888e-06,0.000140937853758,0.000144015913060637,2.72948859290579e-05,4.95636462285285e-06,0.000109381364387513,6.00780191332823e-05,3.17403373871141e-05,1.49495545903502e-05,8.47286169107189e-05,7.43402413837996e-05,4.57252919100976e-05,9.68749253931855e-05,0.000125299699539615,0.000104761636057589,6.0884680963936e-05,5.64738884715082e-06,0.000160325138110859,0.000126983406808188,0.000164409180648497,7.31784299638469e-05,-0.000290408766939209,-5.77581081042192e-05,-0.000124681477485861,-4.17091886328736e-05,-5.58172158027498e-05,0.000164513463012229,-0.000423447900901734,0.000108125009925226,3.40660335808826e-05,-0.000475145690408052,-0.000841260495886125,0.00103642184100002,-0.000484519845958359,0.00141836557887704,-0.00205121998562626,-0.000219659274587003,0.00047986770322282,-0.000561516531016648,-0.00325605061241804,-0.00395056316579422,0.00031256684118495,0.502381546271638,"4-pyridoxic acid",2.70303786815101e-08
"4-quinolinecarboxylic acid",0.128641948156841,0.00128126533174062,0.0144534059846834,0.000581411221331373,0.127965452824387,1.26222295790335e-05,0.00986727832566051,0.000159853090706076,0.0407479958757254,1.12683408641135e-05,0.00104257871648303,0.0582507615942504,0.0952778054822827,0.000128174717041969,0.000591269286453308,0.000418190262782419,0.149395583307995,0.0294287050989906,0.0527383795225509,0.032706579716029,0.0652299674383311,8.32234200964079e-06,0.000464726587122104,0.000251572209998411,-0.145802220856496,0.149124859738963,-0.0990416181671265,-0.205146728292399,0.312183327889189,-0.014952808843095,-0.384634003836982,-0.142583100095967,-0.543300911700869,-0.401717467157313,0.170668928514002,0.0013120118724077,0.154374771035831,-0.0436058116649119,-0.00171312585791938,0.0499277357822581,-0.0610915092697334,-0.18102684141669,-0.0591152577421319,0.0236311047456139,0.0880626626452131,-0.0666563333671439,0.00961847924413824,-0.115009189583152,"4-quinolinecarboxylic acid",0.0212582876066864
"5-deoxyadenosine",0,0.00343804610203303,0,0,0,3.92798103837361e-06,0,0,9.43405948153166e-05,5.54754610052488e-05,0.00411882065665096,0.000292306440134142,0.00220266395476056,0.000511344352419895,0.00608305781495323,0.00021276188301938,0,0.000221936579825063,0,0,2.00759760596453e-05,2.30032851225982e-05,9.33310646803866e-07,0,0.000691531618183379,-0.00297749839445858,-0.00123408845378211,0.00143081443931747,-0.00118393924276389,-0.00791097848760512,-0.00720316997244348,0.0071513546474618,0.0211461861822804,-0.0185576622085871,0.0244464877080626,-0.0140875103245144,-0.0521779604788066,-0.0515507778748315,0.028457834090097,0.036373367910461,0.0120379783829931,0.162370201483651,0.0826882405726248,-0.0244586343853469,0.166528217849224,0.115478025237555,-0.14680258026873,0.068864183014965,"5-deoxyadenosine",4.78215978947323e-07
"5-methylcytosine",0.0149247092628038,0.0683081720746323,0.00167822583181939,0.00306325416434295,0.000109916228728012,9.09301411325512e-05,0.000329048031290825,0.000117961150217809,0.00447803642110661,0.0358513800908046,0.0032644479046437,0.00101359292004135,0.0126333137473985,0.0390120443479836,0.00141176813679004,0.00147735916190112,0.016522280018989,0.0169136715001728,0.00149842235796598,0.0115691680709248,0.000255679541124501,0.00801882045019522,0.000431164196290617,0.000294584237366551,-0.0418958495703672,-0.00886425004042414,0.0962356636289057,-0.0266944443685751,-0.0683556730914698,-0.0652530431815389,0.130432957100341,-0.0639328453065153,0.185678325403145,-0.325662941676805,0.0311894039232401,-0.366597217198482,0.0933971722879833,-0.265661715601094,0.264143631372219,0.168414934842748,0.0760307818842339,0.389639272719209,0.0390704590754423,-0.213203753728667,-0.0513180993676039,-0.039786530731574,0.0966468073904162,-0.160535080385204,"5-methylcytosine",0.00175526221122284
"5-methylthioadenosine",0.00177154555951975,0.00328839061848716,0.000179095727155373,0.000191628141746332,0.0010840995487991,0.00808668099833246,0.000863159580997023,0.000390270601000342,8.41527720670428e-05,6.38574032370892e-05,0.000413428408021059,0.000315047715411277,0,0,0.000579808385423676,0.00159376415332131,0.00014495995275989,0.00823794732710193,0.000349025157816567,0.000224330127389741,0.000148354036964137,0.00429548722049296,0.0121703026140935,0.000314695038953641,-0.00169930023782883,-0.00838886338355231,0.00425917737074962,0.0105678128729795,-0.0078871715685248,0.0187144308049721,-0.0188203995003967,0.0111030405803395,-0.011090673289082,-0.00840475462924282,0.0231541089625777,0.0178559775902278,-0.065331526178486,0.0169939699920454,-0.104719132356014,0.047433293890738,-0.145174737228838,0.036311859827215,-0.29856131620999,-0.103135829495686,-0.469365444442671,-0.502959102404731,-0.0598170249822831,-0.0773783895237799,"5-methylthioadenosine",2.88762129828513e-06
"acetylcholine",6.66765095344845e-05,0.000170507839235705,0,0,0,0,0,0,0.00307522241167336,0.00409768591677051,0,0,0.000818155556760595,0.00434026034703551,0,0,5.74003976568325e-05,0,0,0,0,0,0,0,-0.00191469809062552,-0.00178827554226897,0.0053842927147449,-0.00308864262845215,-0.00213913900638618,-0.000586711235379895,0.00546024704757363,0.00648538611467271,0.0216645873910633,0.00254966571801844,-0.0108914005786333,-0.00730790940727203,0.0173227125166606,0.0467143671668817,0.0594083616041526,-0.0475074399044769,0.00978634408395389,-0.0867292389868673,-0.00744210135350516,-0.0840849309873185,0.155750499604089,-0.0378524472972425,0.0528452791127347,-0.0253262502649638,"acetylcholine",3.66606877824501e-06
"adenine",0.0847540516906262,0.0802556463213787,0.121503853294908,0.185669210486172,0.0859400423117375,0.0566172338979058,0.0957070652127655,0.190234663095443,0.0515249877001506,0.157068132431296,0.121853705311613,0.198835592689402,0.0950219783011869,0.159720197491362,0.353709305494464,0.292216968280679,0.0254062195741944,0.0427026132490484,0.0102280830001162,0.00649875899925341,0.208384996542122,0.159303135576568,0.314820193214446,0.143010999377841,0.220324361458154,-0.655369434302678,-0.24262232530278,-0.0250342344182149,0.116459613129643,-0.571159584061326,-0.141486683358377,0.120990716400787,0.0924146856841282,-0.0894156414629069,0.082509489571738,0.0698008646165899,-0.0261666648583991,-0.00209782972455122,-0.0697119987569061,-0.0291987538397174,-0.00174875809931854,0.00202524863398533,0.123373828244608,0.0199098216226041,-0.007180290585266,-0.00181679833849491,-0.0195135455329066,-0.111703509894909,"adenine",0.0485428242519433
"adenosine",0.0238569021198165,0.110772463587031,0.0978135437788143,0.0809549717670037,0.055555801321545,0.235265782277139,0,0.0797740341156237,0.0337216782322605,0.157921152550098,0.070573868196314,0.0820917637621871,0.0340799678460001,0.161978102760497,0.18609645383643,0.181294268830562,0,0.0342216092956315,0.00546568470701177,0.00812406228711665,0.0735542671052449,0.164664066756528,0.224864282913761,0.213480759976082,0.143416566381834,-0.504336395023562,0.29454876162172,0.154909841715138,-0.111711084007431,0.544078665033471,-0.337591392991953,-0.0673544260242118,-0.112858016304377,0.0251065548226679,-0.188644916243648,-0.149602430134128,-0.137377815716956,0.130808100497472,-0.00973819390244514,0.0637531312425362,-0.0369410576085824,0.0320175276112443,0.039169630525202,0.0222082910376915,0.110859961485565,-0.0736734898921602,0.00634234376290205,-0.108988530791969,"adenosine",0.0205683115127549
"alpha-hydroxyisobutyric acid",2.08085236459369e-07,2.28150497424091e-06,0,0,2.24810497596995e-05,1.9981497339672e-06,0,0,0,0,0,0,1.38929090592305e-07,1.0423326318447e-06,0,3.00556370917007e-06,2.51968062845496e-06,1.5652875953266e-06,0,1.53261421940321e-06,9.36856761883924e-06,9.13324875511079e-07,0,0,-5.74336581374229e-06,8.00389843689866e-07,-9.61516501357136e-07,-4.27506487158932e-06,3.84172217913534e-05,2.14823940681671e-05,1.09562671877812e-05,-1.83582551832825e-05,1.62200754521132e-06,-4.34353561320243e-05,6.37318933993128e-06,-6.75601188197307e-06,-1.57418230008941e-05,0.000139675595949908,-0.000265561715258159,0.000214430314228692,-8.68123753432361e-05,-3.94555010395075e-05,0.000392661139412646,-0.000120485902966642,-7.04795219139771e-05,-0.000157481945100286,0.000803713762716348,-0.0355326578035572,"alpha-hydroxyisobutyric acid",3.29862508704637e-11
"an hydroxycinnamic acid",0.000289652796405547,8.77652122205637e-05,0.00119602407588682,0.00766087823592072,0.000191636489755763,8.38802171724259e-06,6.24800494852067e-05,0.000115691042039306,0,0,0,0,0.000115802691589684,4.46797387334207e-05,0.000449850348809534,0.000954544388024563,0.00103753303450638,0.00228914620737374,8.33827864840219e-05,0.000287210018990068,6.56634693329158e-05,4.24124576808064e-06,0.000128708226655403,0.000168564828831863,0.0015726954936158,0.00073622626445257,-0.00147687404118302,-0.000224353547808705,-0.00249310113019807,-0.00893324515715594,0.00484998959068578,-0.0237096550004414,0.00528741805228894,-0.00501714557967742,-0.0032333236199628,0.0722925188623589,0.0346529888889837,0.0622949296880929,-0.0220474570090248,0.0114189617928168,0.00338467738818773,0.10882174785432,-0.0920402312326494,-0.0165888203661177,-0.0555568069668421,0.163297950078482,0.0311579208243763,-0.0394240937788929,"an hydroxycinnamic acid",2.47337111563944e-06
"azelaic acid and unresolvable, unidentified isomers",0.000103712187302403,0.00010548987457628,5.12938847437297e-05,0.000146862775290794,0.000313901514419801,0.000105624828249955,0,0,4.52132154087463e-05,4.50284157732975e-05,0.000176629240231168,0.00037709143634375,9.6205015028387e-06,3.88005650098489e-05,0,0.000241438325147122,4.96259838196166e-05,2.30341075024598e-05,5.00185795455009e-05,0.000166160047265133,0,4.83385105753357e-05,0,0,-7.47324485737138e-05,3.57456484513124e-05,-3.4619313578509e-05,0.000513951469192928,0.000618732230010171,-0.000423562774711822,0.000218214722840558,-0.0014234148950485,-0.000956852860506913,-0.000210696001204263,-0.00137833579782167,-0.000628666129285055,0.000403462575019348,0.00275925879891566,0.00123239884486413,0.000154949343156143,0.00345195082320871,0.00426117804236486,0.00843676947620063,-0.00580114770105404,-0.00340778803420279,-0.00867385967498209,-0.00462868552328536,-0.0343134839577011,"azelaic acid and unresolvable, unidentified isomers",5.58493886982277e-09
